,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
44,5962CEB4E6066574DBF1A68FEA600E23,D2C1BB8A250C037412AA6349ED24AC87,VTS,1,,2013-01-13 13:17:00,2013-01-13 13:40:00,1,1380,8.81,-73.86994200000001,40.77256,-73.972961,40.755749,CRD,27.5,0.0,0.5,5.5,0.0,33.5
45,955DB80D61CB0BF2202F767BF65141B1,3526BF13A72B64FEA6474344CD5235A0,VTS,1,,2013-01-13 12:24:00,2013-01-13 12:33:00,6,540,2.18,-74.005234,40.719551,-73.986626,40.740463,CRD,9.0,0.0,0.5,1.8,0.0,11.3
46,DA1A4CB0E75444C73D1D1633E701206E,69996930170E51265187F2D360A2366D,VTS,1,,2013-01-13 11:38:00,2013-01-13 11:45:00,1,420,2.25,-73.997734,40.741299,-73.97659300000001,40.76424,CRD,8.5,0.0,0.5,1.7,0.0,10.7
47,6337221680B06AFC43658D3DF883D2C6,D3F0F3BA89898C296A87AF6758285F05,VTS,1,,2013-01-13 10:07:00,2013-01-13 10:11:00,5,240,1.0,-73.976456,40.75164,-73.97316,40.762188,CSH,5.5,0.0,0.5,0.0,0.0,6.0
48,472DD2F9B459280141A3117A28694DEB,CEC70ACBFC3AEBF997233A0FA8D060E5,VTS,1,,2013-01-13 13:03:00,2013-01-13 13:11:00,1,480,1.47,-73.993362,40.731018,-73.982582,40.745461,CRD,8.0,0.0,0.5,1.6,0.0,10.1
49,495DE41C89403BE66DE372E824D444C1,63D974F15B1D2A0341EAA9C7D95E01C8,VTS,1,,2013-01-13 14:05:00,2013-01-13 14:18:00,1,780,2.76,-73.96401999999999,40.761115999999994,-73.982025,40.727737,CRD,12.0,0.0,0.5,3.0,0.0,15.5
50,A7DE8EA8B0F54888E33AAB930B12E49E,35776A283B4EA0E1E0B86CDDE35E386A,VTS,1,,2013-01-13 13:02:00,2013-01-13 13:11:00,1,540,1.33,-74.003548,40.747547,-73.986778,40.740131,CRD,7.5,0.0,0.5,1.5,0.0,9.5
51,25543063A418CEEBB75EE2F4D358CFF5,194EB4D4E0FC4B729E7CFAE0D0A4C1A2,VTS,1,,2013-01-13 11:41:00,2013-01-13 11:47:00,1,360,1.35,-73.968597,40.767475,-73.953369,40.776996999999994,CRD,6.5,0.0,0.5,1.3,0.0,8.3
52,191115180C29B1E2AF8BE0FD0ABD138F,9AF8E427A56850F92103F0D469B7A3C1,VTS,1,,2013-01-13 12:20:00,2013-01-13 12:43:00,5,1380,10.35,-73.99301899999999,40.747772,-73.86322,40.768661,CRD,31.0,0.0,0.5,6.2,4.8,42.5
53,D83BF451B46974F22850BA3DBBA7729E,70211D5E293D6F009DC28965639A2EC2,VTS,1,,2013-01-13 08:30:00,2013-01-13 08:38:00,2,480,1.1,-73.97845500000001,40.724579,-73.994118,40.732085999999995,CRD,7.0,0.0,0.5,0.5,0.0,8.0
